"Device Name","D2 - 2592691"
"Device Model","Kestrel DROP 2"
"Serial Number","2592691"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-12-10 09:00:00 am","31.5","31.6","30.7","12.6","point"
"2024-12-10 10:00:00 am","31.5","36.3","31.5","14.7","point"
"2024-12-10 11:00:00 am","32.4","33.0","32.5","14.1","point"
"2024-12-10 12:00:00 pm","34.5","31.6","35.4","15.2","point"
"2024-12-10 01:00:00 pm","35.7","28.1","36.4","14.4","point"
"2024-12-10 02:00:00 pm","36.2","26.4","36.8","13.9","point"
"2024-12-10 03:00:00 pm","37.7","23.4","37.9","13.2","point"
"2024-12-10 04:00:00 pm","37.9","21.6","37.9","12.3","point"
"2024-12-10 05:00:00 pm","37.4","20.2","36.7","10.8","point"
"2024-12-10 06:00:00 pm","37.2","19.9","36.2","10.4","point"
"2024-12-10 07:00:00 pm","36.1","19.7","34.9","9.4","point"
"2024-12-10 08:00:00 pm","34.5","20.2","32.8","8.4","point"
"2024-12-10 09:00:00 pm","32.4","22.9","30.8","8.5","point"
"2024-12-10 10:00:00 pm","31.1","24.9","29.2","8.7","point"
"2024-12-10 11:00:00 pm","30.4","27.9","28.8","9.8","point"
"2024-12-11 12:00:00 am","29.0","30.1","27.5","9.8","point"
"2024-12-11 01:00:00 am","28.4","33.0","27.0","10.6","point"
"2024-12-11 02:00:00 am","27.7","33.4","26.1","10.1","point"
"2024-12-11 03:00:00 am","26.8","34.3","25.2","9.7","point"
"2024-12-11 04:00:00 am","26.5","35.6","25.0","10.0","point"
"2024-12-11 05:00:00 am","26.8","38.0","25.5","11.3","point"
"2024-12-11 06:00:00 am","26.3","38.8","25.0","11.2","point"
"2024-12-11 07:00:00 am","26.1","40.0","25.1","11.5","point"
"2024-12-11 08:00:00 am","26.9","41.2","25.9","12.6","point"
"2024-12-11 09:00:00 am","29.1","41.5","28.9","14.7","point"
"2024-12-11 10:00:00 am","31.6","38.4","32.1","15.7","point"
"2024-12-11 11:00:00 am","34.4","35.1","36.1","16.7","point"
"2024-12-11 12:00:00 pm","36.0","31.0","37.6","16.2","point"
"2024-12-11 01:00:00 pm","36.6","27.2","37.6","14.7","point"
"2024-12-11 02:00:00 pm","36.8","26.7","37.6","14.5","point"
"2024-12-11 03:00:00 pm","33.9","32.7","34.7","15.3","point"
"2024-12-11 04:00:00 pm","35.4","28.8","36.1","14.5","point"
"2024-12-11 05:00:00 pm","35.7","26.5","35.8","13.4","point"
"2024-12-11 06:00:00 pm","34.6","28.0","34.5","13.4","point"
"2024-12-11 07:00:00 pm","31.8","30.7","31.0","12.5","point"
"2024-12-11 08:00:00 pm","30.9","33.0","30.2","12.7","point"
"2024-12-11 09:00:00 pm","27.8","40.9","27.0","13.3","point"
"2024-12-11 10:00:00 pm","24.7","48.0","23.8","12.9","point"
"2024-12-11 11:00:00 pm","24.0","53.1","23.4","13.9","point"
"2024-12-12 12:00:00 am","22.9","57.9","22.8","14.2","point"
"2024-12-12 01:00:00 am","23.1","58.5","23.0","14.5","point"
"2024-12-12 02:00:00 am","22.1","61.3","22.1","14.3","point"
"2024-12-12 03:00:00 am","21.0","66.7","21.1","14.6","point"
"2024-12-12 04:00:00 am","21.1","68.0","21.2","15.0","point"
"2024-12-12 05:00:00 am","21.1","70.0","21.2","15.4","point"
"2024-12-12 06:00:00 am","21.2","71.1","21.4","15.8","point"
"2024-12-12 07:00:00 am","21.3","72.5","21.7","16.2","point"
"2024-12-12 08:00:00 am","21.5","75.9","22.1","17.1","point"
"2024-12-12 09:00:00 am","22.6","79.4","23.5","18.9","point"
"2024-12-12 10:00:00 am","24.5","76.5","25.4","20.0","point"
"2024-12-12 11:00:00 am","27.1","70.5","29.5","21.3","point"
"2024-12-12 12:00:00 pm","29.4","61.5","32.8","21.3","point"
"2024-12-12 01:00:00 pm","31.3","56.6","35.4","21.6","point"
"2024-12-12 02:00:00 pm","32.4","49.5","36.1","20.4","point"
"2024-12-12 03:00:00 pm","33.3","44.6","36.6","19.6","point"
"2024-12-12 04:00:00 pm","34.3","41.1","37.6","19.2","point"
"2024-12-12 05:00:00 pm","34.5","39.0","37.6","18.5","point"
"2024-12-12 06:00:00 pm","34.1","35.0","35.5","16.5","point"
"2024-12-12 07:00:00 pm","33.1","34.1","33.8","15.2","point"
"2024-12-12 08:00:00 pm","31.3","37.8","31.5","15.2","point"
"2024-12-12 09:00:00 pm","27.5","44.5","27.1","14.3","point"
"2024-12-12 10:00:00 pm","25.9","48.2","25.4","14.1","point"
"2024-12-12 11:00:00 pm","25.6","49.3","25.1","14.2","point"
"2024-12-13 12:00:00 am","25.6","50.5","25.2","14.6","point"
"2024-12-13 01:00:00 am","25.4","51.6","25.0","14.8","point"
"2024-12-13 02:00:00 am","25.4","51.5","24.9","14.7","point"
"2024-12-13 03:00:00 am","25.3","51.8","24.8","14.7","point"
"2024-12-13 04:00:00 am","24.8","53.1","24.2","14.6","point"
"2024-12-13 05:00:00 am","24.0","54.7","23.6","14.3","point"
"2024-12-13 06:00:00 am","23.5","56.5","23.2","14.4","point"
"2024-12-13 07:00:00 am","23.6","57.9","23.3","14.8","point"
"2024-12-13 08:00:00 am","24.3","59.0","24.1","15.7","point"
"2024-12-13 09:00:00 am","25.3","59.0","25.3","16.7","point"
"2024-12-13 10:00:00 am","26.8","57.5","27.4","17.7","point"
"2024-12-13 11:00:00 am","29.1","52.5","30.4","18.4","point"
"2024-12-13 12:00:00 pm","30.1","46.7","31.4","17.5","point"
"2024-12-13 01:00:00 pm","31.3","44.5","32.8","17.8","point"
"2024-12-13 02:00:00 pm","31.8","42.1","33.3","17.4","point"
"2024-12-13 03:00:00 pm","32.3","41.2","33.9","17.4","point"
"2024-12-13 04:00:00 pm","33.5","39.1","35.6","17.7","point"
"2024-12-13 05:00:00 pm","34.1","36.3","36.0","17.0","point"
"2024-12-13 06:00:00 pm","34.0","34.3","35.2","16.1","point"
"2024-12-13 07:00:00 pm","33.2","33.9","33.9","15.2","point"
"2024-12-13 08:00:00 pm","32.2","33.7","32.2","14.2","point"
"2024-12-13 09:00:00 pm","30.3","36.3","29.8","13.7","point"
"2024-12-13 10:00:00 pm","25.9","49.9","25.5","14.7","point"
"2024-12-13 11:00:00 pm","23.7","57.1","23.5","14.7","point"
"2024-12-14 12:00:00 am","22.5","63.3","22.7","15.2","point"
"2024-12-14 01:00:00 am","22.4","64.8","22.5","15.4","point"
"2024-12-14 02:00:00 am","22.7","66.0","22.9","16.0","point"
"2024-12-14 03:00:00 am","22.8","67.2","23.0","16.3","point"
"2024-12-14 04:00:00 am","22.5","68.1","22.8","16.4","point"
"2024-12-14 05:00:00 am","22.1","67.6","22.4","15.8","point"
"2024-12-14 06:00:00 am","21.8","68.0","22.1","15.7","point"
"2024-12-14 07:00:00 am","21.8","69.2","22.2","15.9","point"
"2024-12-14 08:00:00 am","23.1","69.3","23.4","17.1","point"
"2024-12-14 09:00:00 am","24.8","68.7","25.3","18.7","point"
"2024-12-14 10:00:00 am","27.7","62.6","29.3","19.9","point"
"2024-12-14 11:00:00 am","30.0","54.5","32.4","19.8","point"
"2024-12-14 12:00:00 pm","31.7","47.9","34.5","19.3","point"
"2024-12-14 01:00:00 pm","32.4","43.7","34.8","18.5","point"
"2024-12-14 02:00:00 pm","32.1","39.2","33.3","16.5","point"
"2024-12-14 03:00:00 pm","32.3","37.6","33.2","15.9","point"
"2024-12-14 04:00:00 pm","32.5","37.5","33.7","16.2","point"
"2024-12-14 05:00:00 pm","32.8","35.2","33.5","15.4","point"
"2024-12-14 06:00:00 pm","32.1","36.3","32.5","15.3","point"
"2024-12-14 07:00:00 pm","31.2","37.7","31.4","15.1","point"
"2024-12-14 08:00:00 pm","29.9","39.2","29.9","14.5","point"
"2024-12-14 09:00:00 pm","28.7","40.8","28.3","14.1","point"
"2024-12-14 10:00:00 pm","27.9","42.8","27.2","14.1","point"
"2024-12-14 11:00:00 pm","27.3","44.5","26.8","14.2","point"
"2024-12-15 12:00:00 am","26.0","47.3","25.4","13.9","point"
"2024-12-15 01:00:00 am","25.1","49.1","24.5","13.7","point"
"2024-12-15 02:00:00 am","24.9","44.8","23.8","12.1","point"
"2024-12-15 03:00:00 am","24.6","41.3","23.4","10.6","point"
"2024-12-15 04:00:00 am","24.1","40.7","22.9","10.0","point"
"2024-12-15 05:00:00 am","22.9","41.4","21.8","9.1","point"
"2024-12-15 06:00:00 am","22.6","42.5","21.6","9.2","point"
"2024-12-15 07:00:00 am","23.0","42.8","22.0","9.6","point"
"2024-12-15 08:00:00 am","25.6","41.7","24.6","11.6","point"
"2024-12-15 09:00:00 am","28.1","41.2","27.5","13.7","point"
"2024-12-15 10:00:00 am","30.6","39.5","30.9","15.3","point"
"2024-12-15 11:00:00 am","33.2","37.1","34.6","16.6","point"
"2024-12-15 12:00:00 pm","35.2","33.8","37.3","16.9","point"
"2024-12-15 01:00:00 pm","35.8","31.4","37.3","16.3","point"
"2024-12-15 02:00:00 pm","36.0","29.6","37.3","15.5","point"
"2024-12-15 03:00:00 pm","36.5","28.8","37.9","15.5","point"
"2024-12-15 04:00:00 pm","36.8","27.7","37.9","15.1","point"
"2024-12-15 05:00:00 pm","36.3","26.9","36.9","14.3","point"
"2024-12-15 06:00:00 pm","34.9","27.4","35.0","13.3","point"
"2024-12-15 07:00:00 pm","31.5","39.1","32.3","15.9","point"
"2024-12-15 08:00:00 pm","23.1","67.7","23.3","16.8","point"
"2024-12-15 09:00:00 pm","21.4","80.5","21.9","17.9","point"
"2024-12-15 10:00:00 pm","22.2","85.3","23.1","19.7","point"
"2024-12-15 11:00:00 pm","23.1","86.9","24.4","20.8","point"
"2024-12-16 12:00:00 am","23.6","87.7","25.0","21.4","point"
"2024-12-16 01:00:00 am","23.6","89.1","25.2","21.7","point"
"2024-12-16 02:00:00 am","23.6","90.2","25.1","21.9","point"
"2024-12-16 03:00:00 am","23.7","91.1","25.4","22.2","point"
"2024-12-16 04:00:00 am","23.5","91.8","25.1","22.1","point"
"2024-12-16 05:00:00 am","23.2","92.3","24.8","21.9","point"
"2024-12-16 06:00:00 am","23.2","93.0","24.7","22.0","point"
"2024-12-16 07:00:00 am","23.1","93.6","24.7","22.0","point"
"2024-12-16 08:00:00 am","26.1","93.8","30.2","25.0","point"
"2024-12-16 09:00:00 am","26.7","93.8","31.9","25.6","point"
"2024-12-16 10:00:00 am","28.3","93.9","36.2","27.2","point"
