"Device Name","D2 - 2605748"
"Device Model","Kestrel DROP 2"
"Serial Number","2605748"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-12-10 09:00:00 am","31.6","30.2","30.8","12.0","point"
"2024-12-10 10:00:00 am","31.5","34.9","31.3","14.1","point"
"2024-12-10 11:00:00 am","32.4","31.9","32.3","13.5","point"
"2024-12-10 12:00:00 pm","34.6","29.9","35.0","14.4","point"
"2024-12-10 01:00:00 pm","35.8","26.3","36.1","13.5","point"
"2024-12-10 02:00:00 pm","36.3","25.1","36.4","13.2","point"
"2024-12-10 03:00:00 pm","37.7","22.1","37.6","12.4","point"
"2024-12-10 04:00:00 pm","37.9","20.5","37.5","11.5","point"
"2024-12-10 05:00:00 pm","37.4","19.3","36.4","10.1","point"
"2024-12-10 06:00:00 pm","37.1","19.0","35.9","9.7","point"
"2024-12-10 07:00:00 pm","36.1","19.0","34.8","8.9","point"
"2024-12-10 08:00:00 pm","34.4","19.8","32.7","8.1","point"
"2024-12-10 09:00:00 pm","32.4","22.6","30.8","8.4","point"
"2024-12-10 10:00:00 pm","31.0","24.9","29.2","8.6","point"
"2024-12-10 11:00:00 pm","30.3","27.9","28.8","9.7","point"
"2024-12-11 12:00:00 am","29.1","30.1","27.5","9.8","point"
"2024-12-11 01:00:00 am","28.3","32.9","26.7","10.4","point"
"2024-12-11 02:00:00 am","27.6","33.4","26.0","10.0","point"
"2024-12-11 03:00:00 am","26.7","34.2","25.1","9.6","point"
"2024-12-11 04:00:00 am","26.4","35.5","24.9","9.9","point"
"2024-12-11 05:00:00 am","26.7","37.8","25.5","11.1","point"
"2024-12-11 06:00:00 am","26.2","38.7","25.0","11.1","point"
"2024-12-11 07:00:00 am","26.0","39.7","24.9","11.3","point"
"2024-12-11 08:00:00 am","26.8","40.6","25.9","12.3","point"
"2024-12-11 09:00:00 am","29.0","40.3","28.7","14.2","point"
"2024-12-11 10:00:00 am","31.5","37.0","31.7","15.0","point"
"2024-12-11 11:00:00 am","34.4","33.3","35.5","15.9","point"
"2024-12-11 12:00:00 pm","36.1","29.4","37.4","15.5","point"
"2024-12-11 01:00:00 pm","36.7","26.3","37.3","14.2","point"
"2024-12-11 02:00:00 pm","36.8","25.7","37.3","13.9","point"
"2024-12-11 03:00:00 pm","34.1","33.1","35.1","15.6","point"
"2024-12-11 04:00:00 pm","35.3","27.3","35.6","13.7","point"
"2024-12-11 05:00:00 pm","35.7","25.5","35.8","12.9","point"
"2024-12-11 06:00:00 pm","34.6","27.6","34.6","13.2","point"
"2024-12-11 07:00:00 pm","31.9","30.4","31.1","12.4","point"
"2024-12-11 08:00:00 pm","30.8","33.0","30.0","12.6","point"
"2024-12-11 09:00:00 pm","28.4","43.5","28.1","14.8","point"
"2024-12-11 10:00:00 pm","24.7","49.3","23.9","13.4","point"
"2024-12-11 11:00:00 pm","23.9","54.4","23.5","14.2","point"
"2024-12-12 12:00:00 am","22.9","58.2","22.7","14.2","point"
"2024-12-12 01:00:00 am","23.0","58.4","22.9","14.4","point"
"2024-12-12 02:00:00 am","22.2","62.3","22.2","14.6","point"
"2024-12-12 03:00:00 am","21.0","68.7","20.9","15.0","point"
"2024-12-12 04:00:00 am","21.0","69.2","21.0","15.1","point"
"2024-12-12 05:00:00 am","21.0","71.1","21.0","15.6","point"
"2024-12-12 06:00:00 am","21.1","72.1","21.4","15.9","point"
"2024-12-12 07:00:00 am","21.3","73.5","21.6","16.3","point"
"2024-12-12 08:00:00 am","21.5","77.4","21.9","17.4","point"
"2024-12-12 09:00:00 am","22.5","79.6","23.3","18.8","point"
"2024-12-12 10:00:00 am","24.5","74.0","25.2","19.5","point"
"2024-12-12 11:00:00 am","27.1","66.9","29.0","20.4","point"
"2024-12-12 12:00:00 pm","29.6","57.9","32.3","20.4","point"
