"Device Name","D2 - 2605741"
"Device Model","Kestrel DROP 2"
"Serial Number","2605741"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2021-11-16 04:00:00 pm","33.2","6.5","29.4","-8.1","point"
"2021-11-16 05:00:00 pm","28.8","7.9","25.5","-8.9","point"
"2021-11-16 06:00:00 pm","19.2","11.7","15.7","-11.2","point"
"2021-11-16 07:00:00 pm","15.2","15.4","12.2","-10.9","point"
"2021-11-16 08:00:00 pm","8.9","18.0","7.2","-14.1","point"
"2021-11-16 09:00:00 pm","8.0","21.5","6.5","-12.8","point"
"2021-11-16 10:00:00 pm","6.8","23.6","5.5","-12.6","point"
"2021-11-16 11:00:00 pm","6.7","25.4","5.5","-11.8","point"
"2021-11-17 12:00:00 am","5.1","27.3","4.2","-12.3","point"
"2021-11-17 01:00:00 am","5.3","29.6","4.4","-11.1","point"
"2021-11-17 02:00:00 am","4.9","30.7","4.0","-10.9","point"
"2021-11-17 03:00:00 am","3.9","32.3","3.3","-11.1","point"
"2021-11-17 04:00:00 am","1.9","34.0","1.5","-12.4","point"
"2021-11-17 05:00:00 am","2.1","35.6","1.7","-11.6","point"
"2021-11-17 06:00:00 am","0.5","37.0","0.3","-12.5","point"
"2021-11-17 07:00:00 am","0.9","39.2","0.6","-11.5","point"
"2021-11-17 08:00:00 am","0.4","40.9","0.3","-11.4","point"
"2021-11-17 09:00:00 am","9.6","35.5","8.2","-4.9","point"
"2021-11-17 10:00:00 am","24.5","19.4","22.0","-0.4","point"
"2021-11-17 11:00:00 am","38.4","9.2","35.1","0.2","point"
"2021-11-17 12:00:00 pm","41.7","6.1","38.0","-3.0","point"
"2021-11-17 01:00:00 pm","47.2","5.4","43.3","-0.9","point"
"2021-11-17 02:00:00 pm","45.1","4.7","40.9","-4.0","point"
"2021-11-17 03:00:00 pm","36.6","4.6","32.6","-10.3","point"
"2021-11-17 04:00:00 pm","27.7","5.8","24.3","-13.5","point"
"2021-11-17 05:00:00 pm","21.8","8.7","19.2","-12.9","point"
"2021-11-17 06:00:00 pm","14.4","11.4","11.4","-15.3","point"
"2021-11-17 07:00:00 pm","11.4","14.4","9.0","-14.8","point"
"2021-11-17 08:00:00 pm","8.8","16.6","7.1","-15.2","point"
"2021-11-17 09:00:00 pm","7.8","19.1","6.3","-14.4","point"
"2021-11-17 10:00:00 pm","9.2","24.1","7.6","-10.2","point"
"2021-11-17 11:00:00 pm","9.7","28.1","8.1","-7.9","point"
"2021-11-18 12:00:00 am","9.3","30.8","7.8","-7.1","point"
"2021-11-18 01:00:00 am","8.8","31.4","7.5","-7.3","point"
"2021-11-18 02:00:00 am","7.9","30.5","6.6","-8.4","point"
"2021-11-18 03:00:00 am","5.7","31.8","4.7","-9.8","point"
"2021-11-18 04:00:00 am","5.3","32.4","4.4","-9.9","point"
"2021-11-18 05:00:00 am","4.7","32.8","3.9","-10.3","point"
"2021-11-18 06:00:00 am","3.4","32.7","2.8","-11.5","point"
"2021-11-18 07:00:00 am","0.7","33.3","0.6","-13.6","point"
"2021-11-18 08:00:00 am","-0.8","35.3","-0.7","-14.2","point"
"2021-11-18 09:00:00 am","6.2","32.2","5.2","-9.2","point"
"2021-11-18 10:00:00 am","20.2","22.3","17.7","-2.0","point"
"2021-11-18 11:00:00 am","28.5","13.4","25.5","-2.2","point"
"2021-11-18 12:00:00 pm","31.9","9.6","28.5","-4.1","point"
"2021-11-18 01:00:00 pm","38.0","8.1","34.6","-1.8","point"
"2021-11-18 02:00:00 pm","37.4","7.5","33.9","-3.2","point"
"2021-11-18 03:00:00 pm","42.0","7.2","38.5","-0.4","point"
"2021-11-18 04:00:00 pm","35.4","7.5","31.8","-4.8","point"
"2021-11-18 05:00:00 pm","26.5","9.4","23.3","-8.4","point"
"2021-11-18 06:00:00 pm","11.2","13.6","8.9","-15.7","point"
"2021-11-18 07:00:00 pm","6.2","18.7","5.0","-15.9","point"
"2021-11-18 08:00:00 pm","4.7","22.7","3.8","-14.9","point"
"2021-11-18 09:00:00 pm","5.5","25.2","4.5","-12.9","point"
"2021-11-18 10:00:00 pm","4.7","25.6","3.8","-13.4","point"
"2021-11-18 11:00:00 pm","-0.1","27.6","0.0","-16.6","point"
"2021-11-19 12:00:00 am","-0.9","31.6","-0.8","-15.6","point"
"2021-11-19 01:00:00 am","-1.0","34.2","-1.0","-14.8","point"
"2021-11-19 02:00:00 am","-1.7","36.9","-1.7","-14.6","point"
"2021-11-19 03:00:00 am","-2.1","39.5","-2.0","-14.0","point"
"2021-11-19 04:00:00 am","-2.8","40.2","-2.7","-14.4","point"
"2021-11-19 05:00:00 am","-2.3","41.9","-2.3","-13.5","point"
"2021-11-19 06:00:00 am","-2.9","42.7","-2.9","-13.8","point"
"2021-11-19 07:00:00 am","-3.7","43.3","-3.6","-14.3","point"
"2021-11-19 08:00:00 am","-2.4","45.1","-2.3","-12.7","point"
"2021-11-19 09:00:00 am","6.0","39.5","5.2","-6.7","point"
"2021-11-19 10:00:00 am","21.5","24.1","19.9","0.2","point"
"2021-11-19 11:00:00 am","31.4","10.8","28.2","-2.9","point"
"2021-11-19 12:00:00 pm","35.1","8.4","31.5","-3.5","point"
"2021-11-19 01:00:00 pm","39.4","7.6","35.9","-1.7","point"
"2021-11-19 02:00:00 pm","39.0","7.5","35.5","-2.2","point"
"2021-11-19 03:00:00 pm","33.8","9.4","30.4","-2.9","point"
"2021-11-19 04:00:00 pm","31.7","10.5","28.5","-2.9","point"
"2021-11-19 05:00:00 pm","28.4","12.7","25.3","-3.0","point"
"2021-11-19 06:00:00 pm","13.6","18.6","11.0","-9.8","point"
"2021-11-19 07:00:00 pm","7.9","26.3","6.6","-10.3","point"
"2021-11-19 08:00:00 pm","6.2","31.9","5.2","-9.4","point"
"2021-11-19 09:00:00 pm","5.0","36.1","4.3","-8.8","point"
"2021-11-19 10:00:00 pm","6.9","40.3","5.9","-5.7","point"
"2021-11-19 11:00:00 pm","4.6","42.2","3.9","-7.2","point"
"2021-11-20 12:00:00 am","3.1","44.1","2.7","-7.9","point"
"2021-11-20 01:00:00 am","2.7","47.0","2.3","-7.5","point"
"2021-11-20 02:00:00 am","1.6","48.9","1.4","-8.0","point"
"2021-11-20 03:00:00 am","1.3","51.7","1.1","-7.5","point"
"2021-11-20 04:00:00 am","1.4","54.5","1.1","-6.8","point"
"2021-11-20 05:00:00 am","2.0","55.6","1.7","-6.0","point"
"2021-11-20 06:00:00 am","1.3","54.2","1.1","-6.9","point"
"2021-11-20 07:00:00 am","1.2","53.1","1.0","-7.3","point"
"2021-11-20 08:00:00 am","1.1","53.4","1.0","-7.3","point"
"2021-11-20 09:00:00 am","8.2","46.6","7.2","-2.6","point"
"2021-11-20 10:00:00 am","24.9","28.5","22.9","5.4","point"
"2021-11-20 11:00:00 am","31.1","13.0","28.0","-0.6","point"
"2021-11-20 12:00:00 pm","35.2","10.4","31.9","-0.4","point"
"2021-11-20 01:00:00 pm","36.4","8.7","33.0","-2.0","point"
"2021-11-20 02:00:00 pm","36.1","10.5","33.0","0.4","point"
"2021-11-20 03:00:00 pm","35.1","10.4","31.8","-0.5","point"
"2021-11-20 04:00:00 pm","33.0","11.6","29.9","-0.6","point"
"2021-11-20 05:00:00 pm","26.9","14.7","24.0","-2.2","point"
"2021-11-20 06:00:00 pm","17.5","20.0","14.2","-5.7","point"
"2021-11-20 07:00:00 pm","13.5","26.8","11.3","-5.2","point"
"2021-11-20 08:00:00 pm","9.9","32.0","8.3","-6.0","point"
"2021-11-20 09:00:00 pm","9.3","35.6","7.9","-5.2","point"
"2021-11-20 10:00:00 pm","8.3","37.8","7.2","-5.3","point"
"2021-11-20 11:00:00 pm","8.6","38.9","7.4","-4.7","point"
"2021-11-21 12:00:00 am","7.5","38.9","6.4","-5.6","point"
"2021-11-21 01:00:00 am","6.9","38.9","5.9","-6.2","point"
