"Device Name","D2 - 2605746"
"Device Model","Kestrel DROP 2"
"Serial Number","2605746"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-12-10 09:00:00 am","29.5","35.8","28.8","12.8","point"
"2024-12-10 10:00:00 am","32.0","36.0","32.4","15.0","point"
"2024-12-10 11:00:00 am","33.1","32.4","33.5","14.4","point"
"2024-12-10 12:00:00 pm","35.4","30.2","36.4","15.3","point"
"2024-12-10 01:00:00 pm","36.7","27.1","37.7","14.7","point"
"2024-12-10 02:00:00 pm","37.2","25.7","37.9","14.3","point"
"2024-12-10 03:00:00 pm","38.5","23.0","39.2","13.7","point"
"2024-12-10 04:00:00 pm","38.7","21.4","38.9","12.7","point"
"2024-12-10 05:00:00 pm","38.0","20.3","37.6","11.4","point"
"2024-12-10 06:00:00 pm","37.7","19.7","37.0","10.7","point"
"2024-12-10 07:00:00 pm","36.5","19.6","35.4","9.6","point"
"2024-12-10 08:00:00 pm","34.7","20.0","33.2","8.5","point"
"2024-12-10 09:00:00 pm","32.7","22.3","30.9","8.4","point"
"2024-12-10 10:00:00 pm","31.1","25.3","29.3","8.9","point"
"2024-12-10 11:00:00 pm","30.4","28.6","29.0","10.2","point"
"2024-12-11 12:00:00 am","29.1","32.1","27.9","10.8","point"
"2024-12-11 01:00:00 am","28.2","34.4","26.9","11.0","point"
"2024-12-11 02:00:00 am","27.4","35.1","26.1","10.7","point"
"2024-12-11 03:00:00 am","26.5","35.7","25.1","10.1","point"
"2024-12-11 04:00:00 am","26.1","37.2","24.7","10.3","point"
"2024-12-11 05:00:00 am","26.5","39.7","25.4","11.7","point"
"2024-12-11 06:00:00 am","26.0","40.4","25.0","11.5","point"
"2024-12-11 07:00:00 am","25.9","41.2","24.8","11.7","point"
"2024-12-11 08:00:00 am","26.7","41.5","25.8","12.5","point"
"2024-12-11 09:00:00 am","29.2","40.6","28.9","14.4","point"
"2024-12-11 10:00:00 am","31.8","37.8","32.5","15.7","point"
"2024-12-11 11:00:00 am","35.3","33.2","37.0","16.6","point"
"2024-12-11 12:00:00 pm","37.0","29.8","38.9","16.5","point"
"2024-12-11 01:00:00 pm","37.8","26.4","39.0","15.2","point"
"2024-12-11 02:00:00 pm","37.8","25.5","38.9","14.7","point"
"2024-12-11 03:00:00 pm","35.2","29.4","35.9","14.7","point"
"2024-12-11 04:00:00 pm","36.1","27.4","36.7","14.4","point"
"2024-12-11 05:00:00 pm","36.4","25.9","36.8","13.7","point"
"2024-12-11 06:00:00 pm","35.2","27.0","35.3","13.4","point"
"2024-12-11 07:00:00 pm","32.3","29.9","31.7","12.5","point"
"2024-12-11 08:00:00 pm","30.9","32.8","30.2","12.7","point"
"2024-12-11 09:00:00 pm","29.0","38.7","28.4","13.5","point"
"2024-12-11 10:00:00 pm","24.8","49.7","24.1","13.6","point"
"2024-12-11 11:00:00 pm","23.9","54.8","23.4","14.3","point"
"2024-12-12 12:00:00 am","22.7","60.6","22.7","14.7","point"
"2024-12-12 01:00:00 am","22.7","61.3","22.7","14.9","point"
"2024-12-12 02:00:00 am","22.1","63.6","22.2","14.9","point"
"2024-12-12 03:00:00 am","20.9","67.5","20.8","14.7","point"
"2024-12-12 04:00:00 am","20.7","70.4","20.8","15.1","point"
"2024-12-12 05:00:00 am","20.7","71.5","20.7","15.3","point"
"2024-12-12 06:00:00 am","20.8","73.6","20.9","15.9","point"
"2024-12-12 07:00:00 am","20.8","75.0","21.1","16.3","point"
"2024-12-12 08:00:00 am","21.2","77.4","21.5","17.1","point"
"2024-12-12 09:00:00 am","22.3","78.4","23.0","18.4","point"
"2024-12-12 10:00:00 am","24.1","75.9","25.0","19.6","point"
"2024-12-12 11:00:00 am","27.0","70.1","29.1","21.1","point"
"2024-12-12 12:00:00 pm","29.3","63.7","33.0","21.7","point"
"2024-12-12 01:00:00 pm","31.3","59.9","36.1","22.6","point"
"2024-12-12 02:00:00 pm","32.6","53.8","38.0","22.1","point"
"2024-12-12 03:00:00 pm","33.5","50.1","38.6","21.6","point"
"2024-12-12 04:00:00 pm","34.4","46.1","39.2","21.1","point"
"2024-12-12 05:00:00 pm","34.7","43.1","39.1","20.4","point"
"2024-12-12 06:00:00 pm","34.1","39.0","36.8","18.2","point"
"2024-12-12 07:00:00 pm","33.2","38.2","35.0","17.1","point"
"2024-12-12 08:00:00 pm","31.5","40.6","32.4","16.5","point"
"2024-12-12 09:00:00 pm","28.0","45.4","27.8","15.1","point"
"2024-12-12 10:00:00 pm","26.0","49.7","25.7","14.7","point"
"2024-12-12 11:00:00 pm","25.5","50.7","25.1","14.6","point"
"2024-12-13 12:00:00 am","25.4","51.8","25.1","14.8","point"
"2024-12-13 01:00:00 am","25.3","52.8","24.8","15.0","point"
"2024-12-13 02:00:00 am","25.2","52.7","24.8","14.9","point"
"2024-12-13 03:00:00 am","25.1","53.2","24.7","14.9","point"
"2024-12-13 04:00:00 am","24.6","54.5","24.2","14.9","point"
"2024-12-13 05:00:00 am","23.9","56.0","23.6","14.6","point"
"2024-12-13 06:00:00 am","23.4","57.9","23.1","14.6","point"
"2024-12-13 07:00:00 am","23.4","59.3","23.2","15.0","point"
"2024-12-13 08:00:00 am","24.1","59.9","23.9","15.8","point"
"2024-12-13 09:00:00 am","25.1","59.6","25.2","16.7","point"
"2024-12-13 10:00:00 am","26.7","57.5","27.2","17.6","point"
"2024-12-13 11:00:00 am","29.1","51.8","30.4","18.2","point"
"2024-12-13 12:00:00 pm","30.3","47.0","31.6","17.7","point"
"2024-12-13 01:00:00 pm","31.5","44.0","33.2","17.8","point"
"2024-12-13 02:00:00 pm","32.1","42.3","33.8","17.7","point"
"2024-12-13 03:00:00 pm","32.5","41.3","34.3","17.6","point"
"2024-12-13 04:00:00 pm","33.7","39.1","35.9","17.8","point"
"2024-12-13 05:00:00 pm","34.2","36.7","36.3","17.3","point"
"2024-12-13 06:00:00 pm","34.1","34.6","35.5","16.3","point"
"2024-12-13 07:00:00 pm","33.4","34.4","34.4","15.6","point"
"2024-12-13 08:00:00 pm","32.3","34.4","32.5","14.6","point"
"2024-12-13 09:00:00 pm","30.6","36.7","30.5","14.2","point"
"2024-12-13 10:00:00 pm","26.5","49.3","26.2","15.0","point"
"2024-12-13 11:00:00 pm","24.0","56.2","23.6","14.7","point"
"2024-12-14 12:00:00 am","22.6","62.1","22.7","15.0","point"
"2024-12-14 01:00:00 am","22.2","64.6","22.4","15.3","point"
"2024-12-14 02:00:00 am","22.5","66.8","22.7","16.0","point"
"2024-12-14 03:00:00 am","22.6","67.6","22.9","16.3","point"
"2024-12-14 04:00:00 am","22.5","68.2","22.7","16.3","point"
"2024-12-14 05:00:00 am","22.0","68.0","22.2","15.8","point"
"2024-12-14 06:00:00 am","21.7","69.0","22.0","15.8","point"
"2024-12-14 07:00:00 am","21.6","70.0","22.0","15.9","point"
"2024-12-14 08:00:00 am","22.6","71.2","23.1","17.1","point"
"2024-12-14 09:00:00 am","24.5","68.6","24.9","18.4","point"
"2024-12-14 10:00:00 am","27.4","62.2","28.8","19.5","point"
"2024-12-14 11:00:00 am","30.0","53.6","32.3","19.5","point"
"2024-12-14 12:00:00 pm","31.9","47.3","34.6","19.3","point"
"2024-12-14 01:00:00 pm","32.8","43.3","35.3","18.6","point"
"2024-12-14 02:00:00 pm","32.6","39.7","34.3","17.2","point"
"2024-12-14 03:00:00 pm","32.6","37.7","33.9","16.3","point"
"2024-12-14 04:00:00 pm","32.8","37.5","34.1","16.4","point"
"2024-12-14 05:00:00 pm","33.0","35.5","33.9","15.7","point"
"2024-12-14 06:00:00 pm","32.3","36.4","33.1","15.5","point"
"2024-12-14 07:00:00 pm","31.3","37.8","31.7","15.2","point"
"2024-12-14 08:00:00 pm","30.1","39.2","30.0","14.7","point"
"2024-12-14 09:00:00 pm","28.8","41.1","28.4","14.3","point"
"2024-12-14 10:00:00 pm","27.9","43.2","27.3","14.2","point"
"2024-12-14 11:00:00 pm","27.4","44.9","26.8","14.4","point"
"2024-12-15 12:00:00 am","26.0","47.8","25.5","14.1","point"
"2024-12-15 01:00:00 am","25.2","49.3","24.5","13.8","point"
"2024-12-15 02:00:00 am","24.8","45.4","23.8","12.2","point"
"2024-12-15 03:00:00 am","24.3","42.3","23.2","10.7","point"
"2024-12-15 04:00:00 am","23.9","42.0","22.8","10.2","point"
"2024-12-15 05:00:00 am","22.9","42.7","21.9","9.5","point"
"2024-12-15 06:00:00 am","22.4","43.5","21.6","9.4","point"
"2024-12-15 07:00:00 am","22.7","43.9","21.8","9.8","point"
"2024-12-15 08:00:00 am","24.9","43.0","23.7","11.4","point"
"2024-12-15 09:00:00 am","27.8","41.7","27.1","13.6","point"
"2024-12-15 10:00:00 am","30.4","39.5","30.6","15.1","point"
"2024-12-15 11:00:00 am","33.3","36.3","34.5","16.3","point"
"2024-12-15 12:00:00 pm","35.5","32.5","37.2","16.5","point"
"2024-12-15 01:00:00 pm","36.3","30.6","37.9","16.3","point"
"2024-12-15 02:00:00 pm","36.5","28.9","37.9","15.6","point"
"2024-12-15 03:00:00 pm","37.0","28.1","38.3","15.5","point"
"2024-12-15 04:00:00 pm","37.1","27.2","38.2","15.1","point"
"2024-12-15 05:00:00 pm","36.7","26.6","37.6","14.4","point"
"2024-12-15 06:00:00 pm","35.2","27.1","35.4","13.4","point"
"2024-12-15 07:00:00 pm","33.1","39.7","35.2","17.6","point"
"2024-12-15 08:00:00 pm","25.0","72.7","26.0","19.8","point"
"2024-12-15 09:00:00 pm","22.0","79.9","22.6","18.3","point"
"2024-12-15 10:00:00 pm","22.0","84.2","22.9","19.2","point"
"2024-12-15 11:00:00 pm","22.6","85.8","23.7","20.1","point"
"2024-12-16 12:00:00 am","23.1","86.4","24.3","20.7","point"
"2024-12-16 01:00:00 am","23.2","87.0","24.5","20.9","point"
"2024-12-16 02:00:00 am","23.3","87.4","24.6","21.0","point"
"2024-12-16 03:00:00 am","23.4","87.9","24.7","21.3","point"
"2024-12-16 04:00:00 am","23.3","88.2","24.6","21.2","point"
"2024-12-16 05:00:00 am","23.1","88.4","24.3","21.0","point"
"2024-12-16 06:00:00 am","23.0","88.7","24.2","21.0","point"
"2024-12-16 07:00:00 am","22.8","89.0","24.0","20.9","point"
"2024-12-16 08:00:00 am","25.1","89.5","27.3","23.2","point"
"2024-12-16 09:00:00 am","26.2","89.7","30.1","24.4","point"
"2024-12-16 10:00:00 am","27.8","89.5","33.8","25.9","point"
"2024-12-16 11:00:00 am","29.9","88.5","40.0","27.8","point"
"2024-12-16 12:00:00 pm","31.9","86.2","46.6","29.4","point"
"2024-12-16 01:00:00 pm","33.2","85.2","50.9","30.4","point"
"2024-12-16 02:00:00 pm","33.9","84.7","53.4","30.9","point"
"2024-12-16 03:00:00 pm","34.1","82.7","53.6","30.7","point"
"2024-12-16 04:00:00 pm","34.1","81.6","53.0","30.5","point"
"2024-12-16 05:00:00 pm","33.6","81.4","50.7","29.9","point"
"2024-12-16 06:00:00 pm","32.8","83.0","48.5","29.5","point"
"2024-12-16 07:00:00 pm","32.0","83.2","45.9","28.8","point"
"2024-12-16 08:00:00 pm","30.9","82.6","41.4","27.5","point"
"2024-12-16 09:00:00 pm","29.5","73.4","35.4","24.3","point"
"2024-12-16 10:00:00 pm","28.5","70.3","32.4","22.6","point"
"2024-12-16 11:00:00 pm","27.4","73.1","30.2","22.1","point"
"2024-12-17 12:00:00 am","26.4","72.7","28.4","21.0","point"
"2024-12-17 01:00:00 am","25.5","75.6","27.2","20.9","point"
"2024-12-17 02:00:00 am","24.7","76.4","25.7","20.3","point"
"2024-12-17 03:00:00 am","23.7","79.4","24.8","19.9","point"
"2024-12-17 04:00:00 am","22.6","80.3","23.3","19.0","point"
"2024-12-17 05:00:00 am","21.5","81.0","22.2","18.1","point"
"2024-12-17 06:00:00 am","21.1","82.5","21.5","18.0","point"
"2024-12-17 07:00:00 am","20.7","82.5","21.2","17.6","point"
"2024-12-17 08:00:00 am","20.1","73.8","20.1","15.3","point"
"2024-12-17 09:00:00 am","37.7","15.0","35.6","6.7","point"
"2024-12-17 10:00:00 am","44.5","10.5","42.6","6.7","point"
"2024-12-17 11:00:00 am","50.9","7.4","48.6","6.4","point"
"2024-12-17 12:00:00 pm","59.5","6.6","57.9","10.8","point"
"2024-12-17 01:00:00 pm","53.6","6.6","51.1","6.7","point"
