"Device Name","D2 - 2605738"
"Device Model","Kestrel DROP 2"
"Serial Number","2605738"
"FORMATTED DATE_TIME","Temperature","Relative Humidity","Heat Index","Dew Point","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","%","°C","°C"
"2024-12-10 09:00:00 am","31.7","27.6","30.6","10.7","point"
"2024-12-10 10:00:00 am","31.2","33.4","30.7","13.2","point"
"2024-12-10 11:00:00 am","32.3","30.2","31.6","12.6","point"
"2024-12-10 12:00:00 pm","34.2","28.6","34.1","13.4","point"
"2024-12-10 01:00:00 pm","35.5","25.2","35.3","12.6","point"
"2024-12-10 02:00:00 pm","36.1","23.8","35.8","12.2","point"
"2024-12-10 03:00:00 pm","37.5","20.9","37.1","11.4","point"
"2024-12-10 04:00:00 pm","37.8","19.2","37.0","10.4","point"
"2024-12-10 05:00:00 pm","37.4","17.9","35.9","9.0","point"
"2024-12-10 06:00:00 pm","37.1","17.4","35.6","8.4","point"
"2024-12-10 07:00:00 pm","36.2","17.2","34.2","7.4","point"
"2024-12-10 08:00:00 pm","34.6","17.5","32.5","6.5","point"
"2024-12-10 09:00:00 pm","32.6","19.8","30.5","6.6","point"
"2024-12-10 10:00:00 pm","31.2","21.9","29.1","6.9","point"
"2024-12-10 11:00:00 pm","30.5","24.7","28.7","8.1","point"
"2024-12-11 12:00:00 am","29.3","26.8","27.5","8.3","point"
"2024-12-11 01:00:00 am","28.5","29.5","26.7","9.0","point"
"2024-12-11 02:00:00 am","27.7","30.1","25.9","8.7","point"
"2024-12-11 03:00:00 am","27.0","30.8","25.2","8.4","point"
"2024-12-11 04:00:00 am","26.5","32.5","24.9","8.7","point"
"2024-12-11 05:00:00 am","26.9","34.9","25.3","10.1","point"
"2024-12-11 06:00:00 am","26.4","35.7","24.9","10.0","point"
"2024-12-11 07:00:00 am","26.2","36.8","24.9","10.3","point"
"2024-12-11 08:00:00 am","26.8","38.0","25.5","11.3","point"
"2024-12-11 09:00:00 am","28.8","38.3","28.2","13.2","point"
"2024-12-11 10:00:00 am","31.1","35.8","31.0","14.2","point"
"2024-12-11 11:00:00 am","33.9","32.0","34.4","14.9","point"
"2024-12-11 12:00:00 pm","35.6","28.2","36.1","14.4","point"
"2024-12-11 01:00:00 pm","36.4","24.6","36.6","13.0","point"
"2024-12-11 02:00:00 pm","36.6","23.9","36.5","12.7","point"
"2024-12-11 03:00:00 pm","34.5","28.3","34.6","13.5","point"
"2024-12-11 04:00:00 pm","35.2","25.7","35.1","12.6","point"
"2024-12-11 05:00:00 pm","35.7","23.6","35.2","11.8","point"
"2024-12-11 06:00:00 pm","34.6","25.0","34.0","11.7","point"
"2024-12-11 07:00:00 pm","32.0","27.2","30.9","10.8","point"
"2024-12-11 08:00:00 pm","31.0","29.7","29.7","11.2","point"
"2024-12-11 09:00:00 pm","29.0","36.1","28.2","12.5","point"
"2024-12-11 10:00:00 pm","25.3","42.7","24.1","11.7","point"
"2024-12-11 11:00:00 pm","24.4","48.3","23.5","12.8","point"
"2024-12-12 12:00:00 am","23.2","52.4","22.7","12.9","point"
"2024-12-12 01:00:00 am","23.2","53.4","22.8","13.2","point"
"2024-12-12 02:00:00 am","22.6","55.6","22.3","13.3","point"
"2024-12-12 03:00:00 am","21.3","60.9","21.3","13.5","point"
"2024-12-12 04:00:00 am","21.3","62.9","21.1","13.9","point"
"2024-12-12 05:00:00 am","21.3","64.8","21.2","14.4","point"
"2024-12-12 06:00:00 am","21.3","66.3","21.5","14.8","point"
"2024-12-12 07:00:00 am","21.4","67.7","21.6","15.2","point"
"2024-12-12 08:00:00 am","21.7","70.6","22.0","16.1","point"
"2024-12-12 09:00:00 am","22.6","73.4","23.0","17.5","point"
"2024-12-12 10:00:00 am","24.3","70.8","24.8","18.6","point"
"2024-12-12 11:00:00 am","26.7","65.7","28.1","19.7","point"
"2024-12-12 12:00:00 pm","29.0","58.1","31.3","19.9","point"
"2024-12-12 01:00:00 pm","31.0","54.1","34.2","20.6","point"
"2024-12-12 02:00:00 pm","32.2","47.4","35.4","19.6","point"
"2024-12-12 03:00:00 pm","33.1","43.2","36.0","18.9","point"
"2024-12-12 04:00:00 pm","34.1","39.4","36.7","18.3","point"
"2024-12-12 05:00:00 pm","34.4","37.2","36.7","17.7","point"
"2024-12-12 06:00:00 pm","34.0","33.0","35.0","15.5","point"
"2024-12-12 07:00:00 pm","33.1","32.5","33.5","14.4","point"
"2024-12-12 08:00:00 pm","31.3","36.0","31.2","14.4","point"
"2024-12-12 09:00:00 pm","27.4","41.9","26.6","13.3","point"
"2024-12-12 10:00:00 pm","26.0","45.5","25.2","13.3","point"
"2024-12-12 11:00:00 pm","25.7","46.3","24.9","13.3","point"
"2024-12-13 12:00:00 am","25.7","47.3","25.1","13.6","point"
"2024-12-13 01:00:00 am","25.6","48.3","24.9","13.8","point"
"2024-12-13 02:00:00 am","25.5","48.1","24.9","13.8","point"
"2024-12-13 03:00:00 am","25.4","48.6","24.7","13.8","point"
"2024-12-13 04:00:00 am","24.9","49.9","24.1","13.7","point"
"2024-12-13 05:00:00 am","24.1","51.3","23.5","13.5","point"
"2024-12-13 06:00:00 am","23.6","53.0","23.2","13.5","point"
"2024-12-13 07:00:00 am","23.7","54.2","23.2","13.9","point"
"2024-12-13 08:00:00 am","24.4","55.1","24.0","14.8","point"
"2024-12-13 09:00:00 am","25.3","55.1","25.1","15.6","point"
"2024-12-13 10:00:00 am","26.7","53.7","26.9","16.5","point"
"2024-12-13 11:00:00 am","28.8","48.7","29.6","17.0","point"
"2024-12-13 12:00:00 pm","30.0","43.7","30.5","16.3","point"
"2024-12-13 01:00:00 pm","31.2","41.3","32.0","16.5","point"
"2024-12-13 02:00:00 pm","31.7","39.4","32.5","16.1","point"
"2024-12-13 03:00:00 pm","32.1","38.4","33.0","16.1","point"
"2024-12-13 04:00:00 pm","33.3","36.4","34.7","16.4","point"
"2024-12-13 05:00:00 pm","34.0","33.6","35.0","15.7","point"
"2024-12-13 06:00:00 pm","33.9","31.3","34.4","14.6","point"
"2024-12-13 07:00:00 pm","33.2","31.0","33.2","13.8","point"
"2024-12-13 08:00:00 pm","32.2","30.8","31.6","12.8","point"
"2024-12-13 09:00:00 pm","30.2","33.6","29.5","12.5","point"
"2024-12-13 10:00:00 pm","25.9","46.2","25.3","13.5","point"
"2024-12-13 11:00:00 pm","23.9","52.9","23.3","13.7","point"
"2024-12-14 12:00:00 am","22.7","58.2","22.6","14.1","point"
"2024-12-14 01:00:00 am","22.6","59.1","22.5","14.2","point"
"2024-12-14 02:00:00 am","22.9","60.5","22.8","14.8","point"
"2024-12-14 03:00:00 am","23.0","61.6","23.0","15.2","point"
"2024-12-14 04:00:00 am","22.7","62.6","22.8","15.2","point"
"2024-12-14 05:00:00 am","22.3","62.1","22.3","14.7","point"
"2024-12-14 06:00:00 am","22.0","62.7","22.1","14.6","point"
"2024-12-14 07:00:00 am","22.0","63.9","22.1","14.8","point"
"2024-12-14 08:00:00 am","22.9","65.0","23.1","16.0","point"
"2024-12-14 09:00:00 am","24.7","63.6","24.9","17.4","point"
"2024-12-14 10:00:00 am","27.4","58.0","28.3","18.4","point"
"2024-12-14 11:00:00 am","29.5","50.9","31.1","18.3","point"
"2024-12-14 12:00:00 pm","31.1","44.5","32.6","17.6","point"
"2024-12-14 01:00:00 pm","32.0","40.6","33.5","17.0","point"
"2024-12-14 02:00:00 pm","31.9","36.5","32.5","15.3","point"
"2024-12-14 03:00:00 pm","32.1","34.9","32.4","14.7","point"
"2024-12-14 04:00:00 pm","32.4","34.9","32.9","14.9","point"
"2024-12-14 05:00:00 pm","32.7","32.3","32.6","14.0","point"
"2024-12-14 06:00:00 pm","32.1","33.4","32.0","14.0","point"
"2024-12-14 07:00:00 pm","31.1","34.9","30.9","13.8","point"
"2024-12-14 08:00:00 pm","30.0","36.2","29.6","13.4","point"
"2024-12-14 09:00:00 pm","28.8","37.8","28.0","12.9","point"
"2024-12-14 10:00:00 pm","28.0","39.6","27.1","12.9","point"
"2024-12-14 11:00:00 pm","27.5","41.1","26.7","13.1","point"
"2024-12-15 12:00:00 am","26.0","43.7","25.2","12.8","point"
"2024-12-15 01:00:00 am","25.3","45.1","24.4","12.5","point"
"2024-12-15 02:00:00 am","25.1","41.3","23.8","11.0","point"
