"Year","Month","Precipitation"
1960,1,44.9000015258789
1960,2,211.399993896484
1960,3,17.2000007629395
1960,4,17.3999996185303
1960,5,4.59999990463257
1960,6,0.800000011920929
1960,7,0
1960,8,0
1960,9,3.29999995231628
1960,10,9.5
1960,11,20.3999996185303
1960,12,19.8999996185303
1961,1,30.8999996185303
1961,2,72.5
1961,3,94.5999984741211
1961,4,49.2999992370605
1961,5,6.30000019073486
1961,6,1.89999997615814
1961,7,0
1961,8,0
1961,9,1.20000004768372
1961,10,1.70000004768372
1961,11,55.0999984741211
1961,12,18.5
1962,1,38
1962,2,77.1999969482422
1962,3,22.8999996185303
1962,4,19.6000003814697
1962,5,0.600000023841858
1962,6,0.800000011920929
1962,7,0
1962,8,0
1962,9,0.899999976158142
1962,10,11.8000001907349
1962,11,32.5999984741211
1962,12,24.1000003814697
1963,1,178.800003051758
1963,2,38.4000015258789
1963,3,159.5
1963,4,66.9000015258789
1963,5,0.699999988079071
1963,6,0.800000011920929
1963,7,0
1963,8,0
1963,9,4
1963,10,2.79999995231628
1963,11,104.199996948242
1963,12,44.5999984741211
1964,1,42.7999992370605
1964,2,90.3000030517578
1964,3,34.7999992370605
1964,4,10.1000003814697
1964,5,0.899999976158142
1964,6,0.800000011920929
1964,7,0
1964,8,0
1964,9,0.899999976158142
1964,10,3.20000004768372
1964,11,14.1999998092651
1964,12,24.6000003814697
1965,1,70.4000015258789
1965,2,82.6999969482422
1965,3,65.5
1965,4,45.0999984741211
1965,5,0.600000023841858
1965,6,1.39999997615814
1965,7,0
1965,8,0
1965,9,4.80000019073486
1965,10,0.899999976158142
1965,11,51.0999984741211
1965,12,11.1000003814697
1966,1,158.300003051758
1966,2,34
1966,3,128.399993896484
1966,4,25.7999992370605
1966,5,0.600000023841858
1966,6,0.800000011920929
1966,7,0
1966,8,0
1966,9,11.5
1966,10,10.3000001907349
1966,11,10
1966,12,42.2999992370605
1967,1,88.4000015258789
1967,2,112.099998474121
1967,3,89.9000015258789
1967,4,26.7999992370605
1967,5,1.89999997615814
1967,6,0.800000011920929
1967,7,0
1967,8,0
1967,9,1.70000004768372
1967,10,3.20000004768372
1967,11,147.100006103516
1967,12,98.6999969482422
1968,1,63.7999992370605
1968,2,47.2000007629395
1968,3,158.600006103516
1968,4,14.6000003814697
1968,5,9.89999961853027
1968,6,0.800000011920929
1968,7,0
1968,8,0
1968,9,0.899999976158142
1968,10,1.89999997615814
1968,11,62.2000007629395
1968,12,24.5
1969,1,75
1969,2,140.5
1969,3,93.1999969482422
1969,4,17.5
1969,5,0.600000023841858
1969,6,0.800000011920929
1969,7,0
1969,8,0
1969,9,0.899999976158142
1969,10,1.79999995231628
1969,11,26.6000003814697
1969,12,30.2000007629395
1970,1,103.099998474121
1970,2,84.9000015258789
1970,3,57.4000015258789
1970,4,6.69999980926514
1970,5,0.600000023841858
1970,6,0.800000011920929
1970,7,0
1970,8,0
1970,9,0.899999976158142
1970,10,11.1000003814697
1970,11,12.8999996185303
1970,12,47.7999992370605
1971,1,106.800003051758
1971,2,247
1971,3,39
1971,4,36.2000007629395
1971,5,4.5
1971,6,1.79999995231628
1971,7,0
1971,8,0
1971,9,0.899999976158142
1971,10,1.20000004768372
1971,11,8.39999961853027
1971,12,43.7999992370605
1972,1,92
1972,2,20.3999996185303
1972,3,164.699996948242
1972,4,22.5
1972,5,0.600000023841858
1972,6,0.800000011920929
1972,7,0
1972,8,0
1972,9,0.899999976158142
1972,10,8.30000019073486
1972,11,9.60000038146973
1972,12,17.6000003814697
1973,1,21.6000003814697
1973,2,28.7999992370605
1973,3,119.599998474121
1973,4,75.6999969482422
1973,5,0.600000023841858
1973,6,0.800000011920929
1973,7,0
